"time","S","I","R"
0,999,1,0
1,998.907240930836,0.860618485664475,0.232140583499817
2,998.827417675762,0.740657312566029,0.431925011671834
3,998.758726099114,0.637412434776089,0.603861466109204
4,998.699613934126,0.548556145262495,0.751829920611332
5,998.648744858015,0.472083701997592,0.879171439987216
6,998.604970042327,0.406270991999521,0.988758965673388
7,998.567299155867,0.349631317760832,1.08306952637227
8,998.534881258085,0.300886873047151,1.16423186886744
9,998.506983878115,0.258937494170192,1.23407862771498
10,998.48297656427,0.222836057924807,1.29418737780475
11,998.462316836905,0.191767459626194,1.34591570346841
12,998.444537902378,0.165030210789739,1.39043188683196
13,998.429238083456,0.142020600716915,1.42874131582672
14,998.416071672426,0.122218982267391,1.46170934530647
15,998.404741169376,0.105178128803548,1.49008070182
16,998.394990573819,0.0905131673283973,1.51449625885268
17,998.386599581013,0.077892866662162,1.53550755232538
18,998.379378608174,0.0670321691607046,1.55358922266577
19,998.373164508454,0.0576857535404977,1.56914973800599
20,998.367816884231,0.0496424966499172,1.5825406191189
21,998.36321491562,0.0427207083411157,1.59406437603934
22,998.359254629833,0.0367640280860676,1.60398134208137
23,998.355846552115,0.031637894501826,1.61251555338381
24,998.352913684059,0.0272265065679851,1.61985980937275
25,998.350389763504,0.0234302078158224,1.62618002868062
26,998.34821777106,0.0201632410802157,1.63161898785939
27,998.346348633195,0.0173517986050636,1.63629956819971
28,998.344740119443,0.0149323639127115,1.64032751664379
29,998.343355889757,0.0128502793308128,1.64379383091222
30,998.34216467085,0.0110585074382506,1.64677682171158
